t,age,discount_factor,expected_premium,expected_claim,net_cashflow,pv_premium,pv_claim,pv_net,cum_profit,cum_cashflow,profit_pct
0,40,1.0,1000.0,111.2770464246234,888.7229535753766,1000.0,111.2770464246234,888.7229535753766,888.7229535753766,888.7229535753766,0.12119452197366064
1,41,0.970873786407767,998.8872295357538,120.41084642158245,878.4763831141713,969.7934267337416,116.90373438988587,852.8896923438558,1741.6126459192324,1767.1993366895479,0.11630796542840638
2,42,0.9425959091337544,997.683121071538,130.28227444481527,867.4008466267228,940.4120285338279,122.80353892432395,817.608489609504,2559.2211355287363,2634.600183316271,0.11149669271080245
3,43,0.9151416593531596,996.3802983270898,140.9488046395843,855.4314936875055,911.8291195578491,128.9881229617135,782.8409965961357,3342.062132124872,3490.031677003776,0.1067554742253047
4,44,0.8884870479156888,994.970810280694,152.47202350213146,842.4987867785625,884.0186779885746,135.4694180511403,748.5492599374343,4090.611392062306,4332.530463782338,0.10207913429813358
5,45,0.8626087843841639,993.4460900456727,164.9178587693547,828.528231276318,856.9553240854983,142.2595936762723,714.695730409226,4805.307122471532,5161.058695058657,0.09746255236808846
6,46,0.8374842566836542,991.7969114579793,178.35680857233436,813.4401028856449,830.6142991735298,149.37101925167025,681.2432799218595,5486.550402393392,5974.498797944301,0.09290066530378628
7,47,0.8130915113433536,990.0133433722559,192.86416785674348,797.1491755155124,804.971445612634,156.8162177266178,648.1552278860163,6134.705630279408,6771.647973459813,0.08838847099914857
8,48,0.7894092343139355,988.0847016936884,208.52024836384183,779.5644533298466,780.003187801328,164.60780959985203,615.395378201476,6750.101008480884,7551.21242678966,0.0839210334175332
9,49,0.7664167323436267,985.9994992100501,225.41058763428708,760.588911575763,755.686514277019,172.75844601032702,582.928068266692,7333.029076747576,8311.801338365423,0.07949348927513573
